tot_g,trt,siteid
0.00539,Tile,1
0.00467,Tile,1
0.00464,Control,2
8e-5,Control,2
0.00249,Control,2
0.06481,Control,3
0.021750000000000002,Control,3
0.041,Control,3
0.01221,Tile,4
0.01052,Tile,4
0.11786,Surface,5
0.08379,Surface,5
0.020489999999999998,Surface,5
0.00573,Tile,6
2.1e-4,Tile,6
0.008079999999999999,Tile,6
0.0422,Tile,7
0.04743,Tile,7
0.03939,Tile,7
0.03181,Surface,8
0.007809999999999999,Surface,8
0.00462,Surface,8
0.03782,Control,9
0.038990000000000004,Control,9
0.04528,Control,9
0.0913,Control,10
0.09131,Control,10
0.02739,Control,10
0.0011200000000000001,Surface,11
5.600000000000001e-4,Surface,11
8.3e-4,Surface,11
0.01078,Control,12
0.00268,Control,12
0.00108,Control,13
2.8000000000000003e-4,Control,13
0.00473,Control,13
0.017830000000000002,Surface,14
0.0054800000000000005,Surface,14
0.00434,Surface,14
0.00248,Surface,15
0.00396,Surface,15
0.04431,Surface,15
0.0098,Tile,16
0.07246,Tile,16
0.03045,Tile,16
0.03623,Tile,17
0.11121999999999999,Tile,17
0.01654,Surface,18
0.00538,Surface,18
0.0065,Surface,18
0.067917371321,Control,2
0.007807571144,Control,3
0.0114,Control,3
0.025260284576000002,Control,3
0.009163333332000001,Tile,4
0.013226666665000001,Tile,4
0.006466666666,Tile,4
0.34910185889400003,Surface,5
0.255,Surface,5
0.07879,Surface,5
0.0015,Tile,6
0.0075,Tile,6
0.0015,Tile,6
0.013547683205,Tile,7
0.0013,Tile,7
0.0082,Tile,7
0.07410000000000001,Surface,8
0.16269999999999998,Surface,8
0.053481441829,Surface,8
0.0638,Control,9
0.0469,Control,10
0.12205827803300001,Control,10
0.08287,Control,10
0.006433333333,Surface,11
0.001,Surface,11
0.0059,Surface,11
0.00466,Control,12
0.0019,Control,12
0.00553,Control,12
0.0093,Control,13
0.015700000000000002,Control,13
0.006692830381,Control,13
0.04233,Surface,14
0.10173,Surface,14
0.060629999999999996,Surface,15
0.050734736974,Surface,15
0.092376322168,Surface,15
0.006205853728,Tile,16
0.017122926864,Tile,16
0.016322926864,Tile,16
0.131264062285,Tile,17
0.033464062285,Tile,17
0.695940989325,Surface,18
0.561150494745,Surface,18
7.000000000000001e-5,Tile,1
5e-5,Tile,1
0.04837,Control,2
0.00109,Control,2
0.003207199755,Control,2
3.7e-4,Control,3
5.9e-4,Control,3
0.0028,Control,3
0.004370000000000001,Tile,4
4e-5,Tile,4
0.28531999999999996,Surface,5
0.20443000000000003,Surface,5
0.03415000000000001,Tile,6
0.00257,Tile,6
0.04066,Tile,6
0.13826,Tile,7
6.3e-4,Tile,7
0.0031699999999999996,Surface,8
2.6000000000000003e-4,Surface,8
0.002212956024,Surface,8
0.01601,Control,9
0.03631,Control,9
0.00208,Control,10
0.00385,Control,10
2.7e-4,Control,10
0.00103,Surface,11
0.00473,Surface,11
0.00354,Surface,11
7.1e-4,Control,12
8.100000000000001e-4,Control,12
4.4e-4,Control,13
0.1085,Surface,14
0.15292,Surface,14
0.054459999999999995,Surface,15
0.01389,Surface,15
0.19624,Surface,15
0.04857,Tile,16
0.13046000000000002,Tile,16
8.399999999999999e-4,Tile,17
9.8e-4,Tile,17
0.00831,Surface,18
0.036680000000000004,Surface,18
0.012599985000000001,Tile,1
0.014356006999999999,Tile,1
0.00243,Tile,1
0.147750034,Control,2
0.73201,Control,2
0.1019,Control,2
0.00704,Control,3
0.00399,Control,3
7.89999e-4,Control,3
0.0802100149,Tile,4
0.09214000300000001,Tile,4
0.040279995,Tile,4
0.0302100004,Surface,5
0.0121100001,Surface,5
0.00561,Surface,5
0.019719999,Tile,6
0.028369999000000003,Tile,6
0.053580004,Tile,6
0.080979989,Tile,7
0.050049998,Tile,7
0.156120052,Tile,7
0.056239998,Surface,8
0.068370005,Surface,8
0.02255,Surface,8
0.0077595080349999995,Control,9
0.026939992,Control,9
0.017070001,Control,9
0.027717011,Control,10
0.02982,Control,10
0.004100001,Control,10
0.00117,Surface,11
0.004140011000000001,Surface,11
8.100000000000001e-4,Surface,11
0.007779999,Control,12
0.00575,Control,12
6.3e-4,Control,12
0.005203292704,Control,13
0.016067680644,Control,13
0.0063,Control,13
0.024489999,Surface,14
0.051960001,Surface,14
0.087349996,Surface,14
0.006359996999999999,Surface,15
0.013910005,Surface,15
0.010930001,Surface,15
0.0964099724,Tile,16
0.145109878,Tile,16
0.083790022,Tile,16
0.00735,Tile,17
0.013509996,Tile,17
0.036249989999999996,Tile,17
0.043810019,Surface,18
0.057029983,Surface,18
0.0211000019,Surface,18
0.0045699998,Tile,1
0.0142199996,Tile,1
0.131970006,Control,2
0.01412,Control,2
0.035760007,Control,2
2.7e-4,Control,3
4.0999900000000003e-4,Control,3
0.025070004,Tile,4
0.0021,Tile,4
0.03086,Tile,4
0.290929983,Surface,5
0.3269400263,Surface,5
0.179061006,Surface,5
1.5e-4,Tile,6
0.018340000999999998,Tile,6
0.0015,Tile,6
0.00959,Tile,7
0.02022,Tile,7
0.01903,Tile,7
1.1999999999999999e-4,Surface,8
0.03915,Surface,8
0.00252,Control,9
0.0067,Control,9
0.006920001,Control,10
0.0093425,Control,10
0.023159998,Control,10
5.5e-4,Surface,11
0.00864,Surface,11
0.00139,Surface,11
0.00708,Control,12
0.0194800013,Control,12
0.0144700006,Control,12
0.00338,Control,13
3e-4,Control,13
0.02292,Control,13
0.020140000999999998,Surface,14
0.007120001000000001,Surface,14
0.11568003199999999,Surface,14
0.072690002,Surface,15
0.09100000100000001,Surface,15
0.019110017,Surface,15
0.131000004,Surface,16
0.24556999899999998,Surface,16
0.16746999399999998,Surface,16
1.5e-4,Tile,17
0.10373101317099999,Tile,17
0.006580000000000001,Tile,17
0.04236999799999999,Surface,18
0.059719999,Surface,18
0.02673000314,Tile,1
0.09310998640000001,Tile,1
0.007749999600000001,Control,2
9.4e-4,Control,2
0.022586997499999997,Control,2
0.017549998,Control,3
0.0010600001,Control,3
0.0021499996,Control,3
0.014749999599999999,Tile,4
0.01724,Tile,4
0.00551,Tile,4
0.019839996000000002,Surface,5
0.013370001,Surface,5
0.055630001000000005,Surface,5
0.00106,Tile,6
1.7e-4,Tile,6
0.013760000000000001,Tile,6
0.0086,Tile,7
0.00718,Tile,7
8.7e-4,Surface,8
7.099999999999999e-4,Surface,8
0.2711100035,Surface,8
0.08708,Control,9
0.061759996,Control,9
0.0140900006,Control,9
0.010829998,Control,10
0.024849997,Control,10
0.011609999999999999,Control,10
1.4000000000000001e-4,Control,12
0.0029800021,Control,12
0.002129999,Control,12
0.00469,Control,13
0.002619999,Control,13
0.0019,Control,13
0.15332002,Surface,14
0.19999999200000002,Surface,14
0.43649994,Surface,14
6.5e-4,Surface,15
0.0067299989999999995,Surface,15
8e-5,Tile,16
0.006059999999999999,Tile,17
0.032270001,Tile,17
0.037540000000000004,Tile,17
0.03566,Surface,18
0.047009996,Surface,18
