se_01,date2,trt,site,rep,site:rep
0.6001,May2015,Tile,Swartz,1,Swartz_1
0.5001,May2015,Tile,Swartz,2,Swartz_2
81.3001,July2016,Tile Outflow,Swartz,1,Swartz_1
178.8001,July2016,Tile Outflow,Swartz,1,Swartz_1
3.2001,July2016,Tile,Swartz,1,Swartz_1
44.7001,July2016,Tile Outflow,Swartz,1,Swartz_1
1.3001,July2016,Tile,Swartz,1,Swartz_1
2.0001,July2016,Tile,Swartz,1,Swartz_1
4.6001,July2015,Tile,Volker,1,Volker_1
0.5001,July2015,Tile,Volker,2,Volker_2
0.4001,June2015,Tile,Volker,1,Volker_1
0.4001,June2015,Tile,Volker,2,Volker_2
2.1001,May2015,Tile,Volker,1,Volker_1
2.1001,May2015,Tile,Volker,2,Volker_2
1.6001,July2016,Tile,Volker,1,Volker_1
0.7001,July2016,Tile,Volker,1,Volker_1
1.1001,July2016,Tile,Volker,1,Volker_1
0.2001,July2015,Surface,Ziegler,1,Ziegler_1
0.3001,July2015,Surface,Ziegler,2,Ziegler_2
3.2001,June2015,Surface,Ziegler,1,Ziegler_1
4.5001,June2015,Surface,Ziegler,2,Ziegler_2
1.5001,May2015,Surface,Ziegler,1,Ziegler_1
1.4001,May2015,Surface,Ziegler,2,Ziegler_2
0.6001,July2016,Surface,Ziegler,1,Ziegler_1
0.6001,July2016,Surface,Ziegler,1,Ziegler_1
0.8001,July2016,Surface,Ziegler,1,Ziegler_1
